post_id,platform,text,num_hashtags,num_emojis,post_length,sentiment,engagement,viral_label,time_of_day,day_of_week
post_16,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,5,3,71,Neutral,586,Viral,Afternoon,Wednesday
post_17,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,3,2,71,Neutral,487,Not Viral,Afternoon,Monday
post_18,TikTok,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,4,71,Neutral,608,Not Viral,Morning,Friday
post_19,Instagram,Loving the new update! The UI is so much smoother. #update #newfeatures,1,3,71,Neutral,694,Not Viral,Evening,Thursday
post_20,TikTok,Can’t believe how amazing the new product is! #gamechanger #innovation,5,0,70,Positive,766,Not Viral,Evening,Saturday
post_21,TikTok,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,3,71,Negative,461,Viral,Evening,Friday
post_22,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,2,3,78,Positive,650,Not Viral,Morning,Monday
post_23,TikTok,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,0,3,81,Neutral,400,Not Viral,Morning,Thursday
post_24,Twitter,Can’t believe how amazing the new product is! #gamechanger #innovation,2,3,70,Neutral,399,Not Viral,Evening,Sunday
post_25,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,3,4,68,Negative,90,Viral,Afternoon,Saturday
post_26,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,1,82,Negative,811,Not Viral,Morning,Thursday
post_27,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",2,4,82,Positive,205,Not Viral,Afternoon,Thursday
post_28,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,2,71,Neutral,925,Not Viral,Morning,Saturday
post_29,Twitter,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,3,2,83,Negative,396,Not Viral,Morning,Thursday
post_30,Facebook,Loving the new update! The UI is so much smoother. #update #newfeatures,3,4,71,Positive,978,Not Viral,Morning,Thursday
post_31,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,3,3,71,Positive,326,Viral,Afternoon,Wednesday
post_32,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,4,2,76,Negative,828,Viral,Morning,Sunday
post_33,Twitter,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,5,0,83,Neutral,289,Not Viral,Evening,Thursday
post_34,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,2,1,78,Neutral,272,Not Viral,Morning,Saturday
post_35,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,3,2,68,Neutral,969,Not Viral,Evening,Monday
post_36,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,4,0,83,Neutral,96,Not Viral,Afternoon,Tuesday
post_37,Instagram,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,3,2,81,Negative,772,Not Viral,Afternoon,Sunday
post_38,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,1,4,71,Positive,798,Not Viral,Morning,Friday
post_39,TikTok,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,5,0,78,Positive,791,Viral,Morning,Wednesday
post_40,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,2,3,83,Negative,347,Not Viral,Evening,Saturday
post_41,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",3,3,82,Neutral,303,Not Viral,Evening,Monday
post_42,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,2,82,Negative,339,Not Viral,Afternoon,Sunday
post_43,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,0,0,79,Positive,270,Not Viral,Morning,Tuesday
post_44,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,3,2,79,Positive,690,Not Viral,Morning,Tuesday
post_45,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",4,1,82,Neutral,519,Not Viral,Evening,Friday
post_46,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,1,82,Neutral,733,Not Viral,Afternoon,Tuesday
post_47,Twitter,That feeling when you finish a big project. So proud of the results. 💪 #success,1,2,79,Negative,619,Not Viral,Evening,Sunday
post_48,Instagram,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,4,3,78,Neutral,664,Viral,Evening,Monday
post_49,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,1,71,Positive,900,Not Viral,Evening,Friday
post_50,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,3,1,78,Neutral,311,Not Viral,Evening,Wednesday
post_51,Instagram,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,1,0,71,Negative,866,Not Viral,Afternoon,Saturday
post_52,Instagram,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,2,0,68,Positive,842,Not Viral,Afternoon,Monday
post_53,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,4,4,76,Positive,659,Not Viral,Afternoon,Tuesday
post_54,Twitter,Can’t believe how amazing the new product is! #gamechanger #innovation,5,4,70,Neutral,501,Not Viral,Evening,Tuesday
post_55,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,2,4,78,Neutral,451,Not Viral,Morning,Wednesday
post_56,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,0,76,Negative,368,Not Viral,Morning,Saturday
post_57,Instagram,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,1,71,Positive,364,Viral,Afternoon,Tuesday
post_58,TikTok,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,0,0,78,Positive,913,Not Viral,Afternoon,Tuesday
post_59,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,0,4,68,Negative,620,Not Viral,Morning,Monday
post_60,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,2,3,79,Positive,468,Not Viral,Afternoon,Saturday
post_61,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,4,76,Neutral,1000,Not Viral,Afternoon,Saturday
post_62,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",2,0,82,Neutral,458,Not Viral,Afternoon,Monday
post_63,Twitter,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,1,4,71,Negative,885,Viral,Afternoon,Friday
post_64,Twitter,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,1,76,Positive,183,Not Viral,Afternoon,Thursday
post_65,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,3,0,71,Neutral,155,Viral,Afternoon,Wednesday
post_66,Facebook,Loving the new update! The UI is so much smoother. #update #newfeatures,3,3,71,Positive,407,Not Viral,Morning,Thursday
post_67,Instagram,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,2,2,78,Neutral,984,Not Viral,Morning,Sunday
post_68,Instagram,Loving the new update! The UI is so much smoother. #update #newfeatures,3,3,71,Negative,643,Not Viral,Evening,Wednesday
post_69,TikTok,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,2,0,81,Positive,197,Viral,Evening,Sunday
post_70,Facebook,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,0,76,Positive,708,Not Viral,Afternoon,Thursday
post_71,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,2,1,76,Negative,291,Viral,Morning,Wednesday
post_72,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,4,4,71,Negative,345,Viral,Evening,Thursday
post_73,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,5,0,83,Neutral,395,Not Viral,Afternoon,Tuesday
post_74,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,2,1,79,Neutral,54,Not Viral,Morning,Friday
post_75,Instagram,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",5,0,82,Negative,579,Not Viral,Evening,Friday
post_76,Twitter,Can’t believe how amazing the new product is! #gamechanger #innovation,4,4,70,Neutral,376,Not Viral,Afternoon,Sunday
post_77,Facebook,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,2,2,83,Positive,450,Not Viral,Evening,Saturday
post_78,Instagram,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,1,82,Negative,223,Viral,Morning,Tuesday
post_79,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,2,1,76,Negative,308,Viral,Evening,Wednesday
post_80,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,5,3,68,Positive,922,Not Viral,Morning,Thursday
post_81,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,0,82,Negative,578,Not Viral,Evening,Thursday
post_82,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,3,3,70,Negative,354,Not Viral,Evening,Friday
post_83,Instagram,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,0,4,81,Neutral,646,Not Viral,Evening,Monday
post_84,Instagram,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,2,3,81,Neutral,878,Not Viral,Evening,Friday
post_85,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,0,2,68,Neutral,984,Viral,Morning,Thursday
post_86,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,4,0,71,Positive,504,Not Viral,Afternoon,Sunday
post_87,Facebook,Can’t believe how amazing the new product is! #gamechanger #innovation,4,4,70,Positive,620,Not Viral,Morning,Friday
post_88,Instagram,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,4,71,Positive,484,Not Viral,Morning,Wednesday
post_89,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,1,4,79,Positive,938,Viral,Morning,Friday
post_90,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,4,82,Negative,948,Not Viral,Evening,Tuesday
post_91,Instagram,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,0,82,Neutral,210,Viral,Evening,Sunday
post_92,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,1,3,76,Positive,956,Not Viral,Evening,Sunday
post_93,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,2,3,76,Neutral,898,Not Viral,Evening,Friday
post_94,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,5,4,79,Neutral,107,Not Viral,Afternoon,Tuesday
post_95,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",5,2,82,Positive,87,Not Viral,Morning,Thursday
post_96,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,0,4,68,Positive,281,Not Viral,Morning,Saturday
post_97,Twitter,Can’t believe how amazing the new product is! #gamechanger #innovation,3,4,70,Negative,869,Not Viral,Afternoon,Friday
post_98,Facebook,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,0,4,81,Positive,871,Not Viral,Afternoon,Friday
post_99,TikTok,Can’t believe how amazing the new product is! #gamechanger #innovation,2,4,70,Negative,208,Viral,Afternoon,Wednesday
post_100,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,5,2,71,Neutral,931,Not Viral,Morning,Tuesday
post_101,TikTok,Loving the new update! The UI is so much smoother. #update #newfeatures,3,0,71,Negative,659,Not Viral,Evening,Friday
post_102,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,1,82,Positive,180,Not Viral,Afternoon,Thursday
post_103,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,4,4,71,Positive,596,Not Viral,Afternoon,Sunday
post_104,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",3,3,82,Positive,615,Not Viral,Morning,Wednesday
post_105,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,3,1,71,Positive,980,Not Viral,Morning,Thursday
post_106,TikTok,Loving the new update! The UI is so much smoother. #update #newfeatures,4,0,71,Negative,756,Not Viral,Evening,Monday
post_107,Facebook,Loving the new update! The UI is so much smoother. #update #newfeatures,4,4,71,Neutral,301,Not Viral,Morning,Thursday
post_108,Instagram,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,1,3,83,Positive,946,Not Viral,Morning,Sunday
post_109,Instagram,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,5,0,68,Positive,727,Not Viral,Afternoon,Wednesday
post_110,Facebook,Can’t believe how amazing the new product is! #gamechanger #innovation,4,0,70,Negative,865,Not Viral,Evening,Saturday
post_111,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,4,4,68,Neutral,732,Not Viral,Morning,Saturday
post_112,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,0,4,70,Negative,451,Viral,Evening,Monday
post_113,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,3,3,78,Negative,893,Not Viral,Evening,Monday
post_114,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,4,0,68,Neutral,630,Not Viral,Evening,Thursday
post_115,Instagram,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,5,1,68,Negative,148,Viral,Afternoon,Wednesday
post_116,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,4,4,78,Positive,223,Not Viral,Morning,Thursday
post_117,Facebook,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,3,4,81,Negative,343,Not Viral,Evening,Monday
post_118,TikTok,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,0,4,81,Negative,814,Not Viral,Afternoon,Monday
post_119,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,3,4,83,Positive,602,Not Viral,Morning,Sunday
post_120,Twitter,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,5,4,81,Neutral,233,Not Viral,Afternoon,Monday
post_121,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,3,1,76,Positive,130,Not Viral,Evening,Tuesday
post_122,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,1,76,Neutral,546,Viral,Morning,Wednesday
post_123,Instagram,That feeling when you finish a big project. So proud of the results. 💪 #success,1,3,79,Neutral,865,Not Viral,Afternoon,Saturday
post_124,Instagram,That feeling when you finish a big project. So proud of the results. 💪 #success,5,0,79,Neutral,173,Not Viral,Morning,Thursday
post_125,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,0,2,76,Positive,592,Not Viral,Evening,Tuesday
post_126,Twitter,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,1,0,81,Neutral,185,Not Viral,Evening,Saturday
post_127,Twitter,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,2,3,83,Negative,852,Not Viral,Afternoon,Monday
post_128,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,1,82,Neutral,812,Not Viral,Morning,Saturday
post_129,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,4,3,76,Positive,430,Not Viral,Evening,Thursday
post_130,Facebook,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,5,2,83,Neutral,978,Not Viral,Morning,Friday
post_131,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,0,0,71,Positive,691,Not Viral,Evening,Thursday
post_132,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,1,3,76,Neutral,740,Not Viral,Evening,Friday
post_133,Twitter,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,5,2,83,Negative,501,Viral,Afternoon,Sunday
post_134,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,2,4,83,Neutral,835,Not Viral,Evening,Tuesday
post_135,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,0,4,70,Positive,249,Not Viral,Afternoon,Thursday
post_136,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,3,0,78,Negative,532,Not Viral,Morning,Saturday
post_137,Facebook,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,5,4,71,Neutral,905,Not Viral,Morning,Monday
post_138,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,3,82,Negative,813,Viral,Evening,Tuesday
post_139,Facebook,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,2,2,81,Neutral,616,Not Viral,Evening,Thursday
post_140,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,5,2,76,Positive,891,Not Viral,Evening,Saturday
post_141,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,1,0,71,Positive,308,Not Viral,Morning,Thursday
post_142,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,1,0,78,Negative,225,Not Viral,Morning,Wednesday
post_143,Instagram,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,5,1,78,Positive,613,Not Viral,Evening,Wednesday
post_144,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",1,2,82,Positive,640,Viral,Evening,Thursday
post_145,Twitter,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,0,3,78,Neutral,940,Not Viral,Evening,Monday
post_146,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",2,0,82,Negative,402,Not Viral,Morning,Friday
post_147,Facebook,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,1,2,68,Negative,588,Viral,Afternoon,Saturday
post_148,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,3,3,76,Negative,378,Viral,Morning,Tuesday
post_149,Facebook,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,4,3,83,Negative,433,Not Viral,Evening,Sunday
post_150,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,1,4,76,Positive,638,Not Viral,Afternoon,Tuesday
post_151,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,2,4,71,Neutral,489,Not Viral,Morning,Friday
post_152,Twitter,Can’t believe how amazing the new product is! #gamechanger #innovation,4,2,70,Negative,532,Not Viral,Evening,Tuesday
post_153,Instagram,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,4,4,68,Neutral,508,Not Viral,Morning,Thursday
post_154,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,5,0,68,Positive,265,Not Viral,Afternoon,Thursday
post_155,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,0,2,78,Positive,487,Viral,Evening,Tuesday
post_156,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,1,2,70,Neutral,791,Not Viral,Morning,Thursday
post_157,Facebook,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,2,1,81,Positive,989,Not Viral,Morning,Tuesday
post_158,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,1,2,78,Neutral,292,Not Viral,Evening,Friday
post_159,TikTok,Loving the new update! The UI is so much smoother. #update #newfeatures,3,3,71,Positive,941,Not Viral,Afternoon,Monday
post_160,Twitter,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,4,1,76,Positive,738,Not Viral,Evening,Saturday
post_161,Instagram,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,0,0,71,Positive,143,Not Viral,Afternoon,Sunday
post_162,TikTok,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,1,0,78,Neutral,723,Not Viral,Evening,Friday
post_163,TikTok,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,4,2,76,Positive,112,Not Viral,Evening,Wednesday
post_164,Facebook,Can’t believe how amazing the new product is! #gamechanger #innovation,0,4,70,Positive,101,Not Viral,Evening,Saturday
post_165,TikTok,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,1,1,71,Neutral,715,Viral,Evening,Thursday
post_166,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",5,2,82,Neutral,696,Not Viral,Afternoon,Monday
post_167,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,4,0,70,Neutral,453,Not Viral,Evening,Monday
post_168,Instagram,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",4,4,82,Neutral,666,Not Viral,Morning,Monday
post_169,Instagram,Loving the new update! The UI is so much smoother. #update #newfeatures,2,3,71,Neutral,514,Viral,Afternoon,Sunday
post_170,Twitter,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",4,3,82,Positive,247,Not Viral,Evening,Thursday
post_171,TikTok,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,4,1,83,Neutral,395,Not Viral,Evening,Wednesday
post_172,Instagram,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,3,4,76,Positive,703,Not Viral,Morning,Wednesday
post_173,Instagram,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,1,3,81,Neutral,484,Not Viral,Evening,Friday
post_174,Twitter,That feeling when you finish a big project. So proud of the results. 💪 #success,2,3,79,Negative,500,Not Viral,Evening,Tuesday
post_175,Instagram,That feeling when you finish a big project. So proud of the results. 💪 #success,5,0,79,Neutral,607,Not Viral,Evening,Wednesday
post_176,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,0,2,68,Negative,216,Viral,Afternoon,Saturday
post_177,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,2,1,68,Neutral,777,Not Viral,Afternoon,Thursday
post_178,Facebook,Loving the new update! The UI is so much smoother. #update #newfeatures,5,0,71,Neutral,399,Not Viral,Evening,Tuesday
post_179,TikTok,Can’t believe how amazing the new product is! #gamechanger #innovation,5,4,70,Neutral,434,Viral,Morning,Saturday
post_180,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,1,1,79,Neutral,479,Viral,Afternoon,Saturday
post_181,Facebook,That feeling when you finish a big project. So proud of the results. 💪 #success,2,3,79,Positive,898,Not Viral,Morning,Thursday
post_182,TikTok,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,4,0,68,Negative,842,Not Viral,Morning,Thursday
post_183,Instagram,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,5,3,71,Positive,899,Viral,Afternoon,Tuesday
post_184,TikTok,That feeling when you finish a big project. So proud of the results. 💪 #success,1,2,79,Neutral,146,Not Viral,Morning,Sunday
post_185,Twitter,Loving the new update! The UI is so much smoother. #update #newfeatures,3,3,71,Negative,278,Viral,Morning,Friday
post_186,TikTok,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,0,2,78,Negative,282,Not Viral,Morning,Tuesday
post_187,Facebook,I’ve been waiting for this release forever! Finally here! 🔥 #newmusic #nowplaying,4,2,81,Positive,308,Not Viral,Evening,Sunday
post_188,Instagram,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,0,2,83,Negative,146,Viral,Afternoon,Saturday
post_189,Twitter,That feeling when you finish a big project. So proud of the results. 💪 #success,3,2,79,Positive,184,Not Viral,Morning,Thursday
post_190,Instagram,Can’t believe how amazing the new product is! #gamechanger #innovation,0,2,70,Neutral,402,Not Viral,Afternoon,Monday
post_191,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",0,1,82,Neutral,781,Not Viral,Morning,Tuesday
post_192,Facebook,Can’t believe how amazing the new product is! #gamechanger #innovation,1,2,70,Positive,158,Not Viral,Afternoon,Friday
post_193,Instagram,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,5,3,78,Neutral,995,Not Viral,Afternoon,Saturday
post_194,Facebook,This is the best movie I’ve watched in years! Highly recommend it. 🍿🎬 #mustsee,0,4,78,Positive,692,Not Viral,Evening,Monday
post_195,Twitter,That feeling when you finish a big project. So proud of the results. 💪 #success,0,3,79,Neutral,68,Not Viral,Evening,Tuesday
post_196,Twitter,Can’t wait for the concert tonight! The energy is going to be unreal! 🎶 #musiclover,2,3,83,Positive,546,Not Viral,Morning,Thursday
post_197,Twitter,Big sale on our site today! Don’t miss out! 💥🛍️ #shopping #discounts,2,3,68,Neutral,609,Not Viral,Afternoon,Tuesday
post_198,Facebook,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",5,4,82,Negative,238,Viral,Afternoon,Wednesday
post_199,TikTok,"A little tired, but I’m pushing through the day. Let’s get it! #hustle #motivation",4,4,82,Negative,198,Not Viral,Evening,Monday
post_200,TikTok,Another beautiful morning to get things done! Let’s go! ☀️💼 #motivation,3,4,71,Neutral,865,Not Viral,Evening,Friday
post_201,TikTok,Can’t believe how amazing the new product is! #gamechanger #innovation,1,0,70,Positive,317,Not Viral,Evening,Monday
post_202,Facebook,Feeling super excited for the weekend getaway. Can’t wait to disconnect! ✈️🌴,3,4,76,Negative,351,Not Viral,Morning,Thursday
